name_model,task,desc,paper_url,year,citation
ResNet50,Image Classification,ResNet is a residual learning framework to ease the training of networks that are substantially deeper than those used previously. An ensemble of the 152-layer version of this network wins the ImageNet challenge in 2016.,https://arxiv.org/abs/1512.03385,2016,42344
MaskRCNN,Instance Segmentation,"MaskRCNN is a conceptually simple, flexible, and general framework for object instance segmentation.",https://arxiv.org/abs/1703.06870,2017,5619
